,top50_scores,top25_scores,top10_scores
lh_G_parietal_sup_thicknessstd,0.0,0.0,0.0
Left.Caudate,6.0,3.0,0.0
Left.Pallidum,0.0,0.0,0.0
X4th.Ventricle,6.0,6.0,0.0
Left.Hippocampus,0.0,0.0,0.0
Left.Amygdala,0.0,0.0,0.0
CSF,0.0,0.0,0.0
Left.Accumbens.area,0.0,0.0,0.0
Left.VentralDC,6.0,0.0,0.0
Left.vessel,0.0,0.0,0.0
Left.choroid.plexus,0.0,0.0,0.0
Right.Inf.Lat.Vent,0.0,0.0,0.0
Right.Cerebellum.Cortex,0.0,0.0,0.0
rh_S_orbital.H_Shaped_thicknessstd,0.0,0.0,0.0
rh_S_orbital_med.olfact_thicknessstd,0.0,0.0,0.0
rh_S_orbital_lateral_thicknessstd,0.0,0.0,0.0
rh_S_oc.temp_med.Lingual_thicknessstd,0.0,0.0,0.0
rh_G_temp_sup.Plan_tempo_thicknessstd,0.0,0.0,0.0
rh_G_temporal_inf_thicknessstd,0.0,0.0,0.0
rh_G_temporal_middle_thicknessstd,0.0,0.0,0.0
rh_Lat_Fis.ant.Horizont_thicknessstd,0.0,0.0,0.0
rh_Lat_Fis.ant.Vertical_thicknessstd,0.0,0.0,0.0
rh_Lat_Fis.post_thicknessstd,0.0,0.0,0.0
rh_Pole_occipital_thicknessstd,0.0,0.0,0.0
rh_Pole_temporal_thicknessstd,0.0,0.0,0.0
rh_S_calcarine_thicknessstd,0.0,0.0,0.0
rh_S_central_thicknessstd,0.0,0.0,0.0
rh_S_cingul.Marginalis_thicknessstd,0.0,0.0,0.0
rh_S_circular_insula_ant_thicknessstd,0.0,0.0,0.0
rh_S_circular_insula_inf_thicknessstd,6.0,0.0,0.0
rh_S_circular_insula_sup_thicknessstd,0.0,0.0,0.0
rh_S_collat_transv_ant_thicknessstd,0.0,0.0,0.0
rh_S_collat_transv_post_thicknessstd,0.0,0.0,0.0
rh_S_front_inf_thicknessstd,0.0,0.0,0.0
rh_S_front_middle_thicknessstd,0.0,0.0,0.0
rh_S_front_sup_thicknessstd,0.0,0.0,0.0
rh_S_interm_prim.Jensen_thicknessstd,0.0,0.0,0.0
rh_S_intrapariet.P_trans_thicknessstd,0.0,0.0,0.0
rh_S_oc_middle.Lunatus_thicknessstd,0.0,0.0,0.0
rh_S_oc_sup.transversal_thicknessstd,0.0,0.0,0.0
rh_S_occipital_ant_thicknessstd,0.0,0.0,0.0
rh_S_oc.temp_lat_thicknessstd,0.0,0.0,0.0
Right.Thalamus.Proper,3.0,0.0,0.0
Right.Caudate,0.0,0.0,0.0
Right.Putamen,0.0,0.0,0.0
MaskVol.to.eTIV,3.0,3.0,0.0
rhSurfaceHoles,0.0,0.0,0.0
SurfaceHoles,0.0,0.0,0.0
lh.Hippocampal_tail,0.0,0.0,0.0
lh.subiculum,0.0,0.0,0.0
lh.CA1,0.0,0.0,0.0
lh.hippocampal.fissure,0.0,0.0,0.0
lh.presubiculum,0.0,0.0,0.0
lh.parasubiculum,0.0,0.0,0.0
lh.molecular_layer_HP,0.0,0.0,0.0
lh.GC.ML.DG,0.0,0.0,0.0
lh.CA3,0.0,0.0,0.0
lh.fimbria,3.0,0.0,0.0
lh.HATA,0.0,0.0,0.0
lh.Whole_hippocampus,0.0,0.0,0.0
rh.Hippocampal_tail,0.0,0.0,0.0
rh.subiculum,0.0,0.0,0.0
rh.CA1,0.0,0.0,0.0
rh.hippocampal.fissure,0.0,0.0,0.0
rh.presubiculum,0.0,0.0,0.0
rh.parasubiculum,0.0,0.0,0.0
rh.molecular_layer_HP,0.0,0.0,0.0
rh.GC.ML.DG,0.0,0.0,0.0
rh.CA3,0.0,0.0,0.0
rh.CA4,0.0,0.0,0.0
rh.HATA,0.0,0.0,0.0
lhSurfaceHoles,0.0,0.0,0.0
MaskVol,0.0,0.0,0.0
Right.Pallidum,0.0,0.0,0.0
SupraTentorialVolNotVentVox,0.0,0.0,0.0
Right.Hippocampus,0.0,0.0,0.0
Right.Accumbens.area,0.0,0.0,0.0
Right.VentralDC,6.0,6.0,0.0
Right.vessel,0.0,0.0,0.0
Right.choroid.plexus,0.0,0.0,0.0
WM.hypointensities,6.0,0.0,0.0
Optic.Chiasm,0.0,0.0,0.0
CC_Posterior,0.0,0.0,0.0
CC_Mid_Posterior,0.0,0.0,0.0
CC_Central,0.0,0.0,0.0
CC_Mid_Anterior,0.0,0.0,0.0
CC_Anterior,0.0,0.0,0.0
BrainSegVol,0.0,0.0,0.0
BrainSegVolNotVent,0.0,0.0,0.0
BrainSegVolNotVentSurf,0.0,0.0,0.0
lhCortexVol,0.0,0.0,0.0
rhCortexVol,0.0,0.0,0.0
CortexVol,0.0,0.0,0.0
lhCerebralWhiteMatterVol,0.0,0.0,0.0
rhCerebralWhiteMatterVol,0.0,0.0,0.0
CerebralWhiteMatterVol,0.0,0.0,0.0
SubCortGrayVol,6.0,0.0,0.0
TotalGrayVol,0.0,0.0,0.0
SupraTentorialVol,0.0,0.0,0.0
SupraTentorialVolNotVent,0.0,0.0,0.0
rh_G_temp_sup.Plan_polar_thicknessstd,0.0,0.0,0.0
rh_G_temp_sup.Lateral_thicknessstd,0.0,0.0,0.0
rh_G_temp_sup.G_T_transv_thicknessstd,0.0,0.0,0.0
lh_S_interm_prim.Jensen_thicknessstd,0.0,0.0,0.0
lh_S_oc_middle.Lunatus_thicknessstd,0.0,0.0,0.0
lh_S_oc_sup.transversal_thicknessstd,0.0,0.0,0.0
lh_S_occipital_ant_thicknessstd,0.0,0.0,0.0
lh_S_oc.temp_lat_thicknessstd,0.0,0.0,0.0
lh_S_oc.temp_med.Lingual_thicknessstd,0.0,0.0,0.0
lh_S_orbital_lateral_thicknessstd,0.0,0.0,0.0
lh_S_orbital_med.olfact_thicknessstd,0.0,0.0,0.0
lh_S_orbital.H_Shaped_thicknessstd,6.0,0.0,0.0
lh_S_parieto_occipital_thicknessstd,0.0,0.0,0.0
lh_S_pericallosal_thicknessstd,0.0,0.0,0.0
lh_S_postcentral_thicknessstd,0.0,0.0,0.0
lh_S_precentral.inf.part_thicknessstd,0.0,0.0,0.0
lh_S_precentral.sup.part_thicknessstd,0.0,0.0,0.0
lh_S_suborbital_thicknessstd,0.0,0.0,0.0
lh_S_subparietal_thicknessstd,0.0,0.0,0.0
lh_S_temporal_inf_thicknessstd,0.0,0.0,0.0
lh_S_temporal_sup_thicknessstd,0.0,0.0,0.0
lh_S_temporal_transverse_thicknessstd,0.0,0.0,0.0
rh_bankssts_thicknessstd,0.0,0.0,0.0
rh_caudalanteriorcingulate_thicknessstd,0.0,0.0,0.0
rh_caudalmiddlefrontal_thicknessstd,0.0,0.0,0.0
rh_cuneus_thicknessstd,0.0,0.0,0.0
rh_entorhinal_thicknessstd,0.0,0.0,0.0
rh_fusiform_thicknessstd,0.0,0.0,0.0
rh_inferiorparietal_thicknessstd,0.0,0.0,0.0
lh_S_intrapariet.P_trans_thicknessstd,0.0,0.0,0.0
lh_S_front_sup_thicknessstd,0.0,0.0,0.0
rh_isthmuscingulate_thicknessstd,0.0,0.0,0.0
lh_S_front_middle_thicknessstd,0.0,0.0,0.0
lh_G_postcentral_thicknessstd,0.0,0.0,0.0
lh_G_precentral_thicknessstd,6.0,3.0,0.0
lh_G_precuneus_thicknessstd,0.0,0.0,0.0
lh_G_rectus_thicknessstd,0.0,0.0,0.0
lh_G_front_inf.Opercular_thickness,0.0,0.0,0.0
lh_G_temp_sup.G_T_transv_thicknessstd,0.0,0.0,0.0
lh_G_temp_sup.Lateral_thicknessstd,0.0,0.0,0.0
lh_G_temp_sup.Plan_polar_thicknessstd,0.0,0.0,0.0
lh_G_temp_sup.Plan_tempo_thicknessstd,0.0,0.0,0.0
lh_G_temporal_inf_thicknessstd,6.0,3.0,0.0
lh_G_temporal_middle_thicknessstd,0.0,0.0,0.0
lh_Lat_Fis.ant.Horizont_thicknessstd,0.0,0.0,0.0
lh_Lat_Fis.ant.Vertical_thicknessstd,0.0,0.0,0.0
lh_Lat_Fis.post_thicknessstd,0.0,0.0,0.0
lh_Pole_occipital_thicknessstd,0.0,0.0,0.0
lh_Pole_temporal_thicknessstd,0.0,0.0,0.0
lh_S_calcarine_thicknessstd,0.0,0.0,0.0
lh_S_central_thicknessstd,0.0,0.0,0.0
lh_S_cingul.Marginalis_thicknessstd,0.0,0.0,0.0
lh_S_circular_insula_ant_thicknessstd,0.0,0.0,0.0
lh_S_circular_insula_inf_thicknessstd,6.0,6.0,0.0
lh_S_circular_insula_sup_thicknessstd,6.0,6.0,0.0
lh_S_collat_transv_ant_thicknessstd,0.0,0.0,0.0
lh_S_collat_transv_post_thicknessstd,0.0,0.0,0.0
lh_S_front_inf_thicknessstd,0.0,0.0,0.0
rh_inferiortemporal_thicknessstd,0.0,0.0,0.0
rh_lateraloccipital_thicknessstd,0.0,0.0,0.0
rh_G_subcallosal_thicknessstd,0.0,0.0,0.0
rh_G.S_transv_frontopol_thicknessstd,0.0,0.0,0.0
rh_G.S_cingul.Mid.Ant_thicknessstd,0.0,0.0,0.0
rh_G.S_cingul.Mid.Post_thicknessstd,0.0,0.0,0.0
